hour,time_utc,month,source_year,local_hour,ghi,dni,dhi,t2m
4103,2023-06-20T23:00:00Z,6,2023,19,58.97,6.66,51.71,27.08
4104,2023-06-21T00:00:00Z,6,2023,20,3.55,0.00,4.93,25.81
4105,2023-06-21T01:00:00Z,6,2023,21,0.00,0.00,0.00,25.19
4106,2023-06-21T02:00:00Z,6,2023,22,0.00,0.00,0.00,24.87
4107,2023-06-21T03:00:00Z,6,2023,23,0.00,0.00,0.00,24.69
4108,2023-06-21T04:00:00Z,6,2023,0,0.00,0.00,0.00,24.63
4109,2023-06-21T05:00:00Z,6,2023,1,0.00,0.00,0.00,24.41
4110,2023-06-21T06:00:00Z,6,2023,2,0.00,0.00,0.00,24.28
4111,2023-06-21T07:00:00Z,6,2023,3,0.00,0.00,0.00,24.18
4112,2023-06-21T08:00:00Z,6,2023,4,0.00,0.00,0.00,24.03
4113,2023-06-21T09:00:00Z,6,2023,5,0.00,0.00,0.00,23.72
4114,2023-06-21T10:00:00Z,6,2023,6,3.75,0.00,4.01,23.04
4115,2023-06-21T11:00:00Z,6,2023,7,56.80,0.00,51.32,23.33
4116,2023-06-21T12:00:00Z,6,2023,8,141.52,0.00,123.35,23.69
4117,2023-06-21T13:00:00Z,6,2023,9,135.93,0.00,117.20,24.34
4118,2023-06-21T14:00:00Z,6,2023,10,243.07,0.00,199.89,25.02
4119,2023-06-21T15:00:00Z,6,2023,11,561.50,134.99,364.07,25.80
4120,2023-06-21T16:00:00Z,6,2023,12,582.17,164.20,336.63,26.66
4121,2023-06-21T17:00:00Z,6,2023,13,543.05,58.25,334.68,27.47
4122,2023-06-21T18:00:00Z,6,2023,14,601.28,60.29,442.18,28.09
4123,2023-06-21T19:00:00Z,6,2023,15,488.17,146.39,307.81,28.37
4124,2023-06-21T20:00:00Z,6,2023,16,339.33,28.11,265.05,28.20
4125,2023-06-21T21:00:00Z,6,2023,17,302.98,56.91,229.24,27.78
4126,2023-06-21T22:00:00Z,6,2023,18,179.30,19.27,154.38,27.15
4127,2023-06-21T23:00:00Z,6,2023,19,69.07,7.69,61.73,25.88
4128,2023-06-22T00:00:00Z,6,2023,20,3.47,0.00,4.80,24.18
4129,2023-06-22T01:00:00Z,6,2023,21,0.00,0.00,0.00,23.49
4130,2023-06-22T02:00:00Z,6,2023,22,0.00,0.00,0.00,23.12
4131,2023-06-22T03:00:00Z,6,2023,23,0.00,0.00,0.00,22.85
4132,2023-06-22T04:00:00Z,6,2023,0,0.00,0.00,0.00,22.63
4133,2023-06-22T05:00:00Z,6,2023,1,0.00,0.00,0.00,22.51
4134,2023-06-22T06:00:00Z,6,2023,2,0.00,0.00,0.00,22.80
4135,2023-06-22T07:00:00Z,6,2023,3,0.00,0.00,0.00,22.84
4136,2023-06-22T08:00:00Z,6,2023,4,0.00,0.00,0.00,22.70
4137,2023-06-22T09:00:00Z,6,2023,5,0.00,0.00,0.00,22.58
4138,2023-06-22T10:00:00Z,6,2023,6,5.88,4.91,8.11,22.58
4139,2023-06-22T11:00:00Z,6,2023,7,98.65,131.44,74.59,23.70
4140,2023-06-22T12:00:00Z,6,2023,8,256.65,232.81,158.45,24.74
4141,2023-06-22T13:00:00Z,6,2023,9,439.60,371.02,226.57,25.92
4142,2023-06-22T14:00:00Z,6,2023,10,569.60,289.06,317.99,26.98
4143,2023-06-22T15:00:00Z,6,2023,11,699.17,275.68,419.73,28.12
4144,2023-06-22T16:00:00Z,6,2023,12,779.05,258.52,532.91,29.13
4145,2023-06-22T17:00:00Z,6,2023,13,768.30,148.62,444.73,29.86
4146,2023-06-22T18:00:00Z,6,2023,14,467.27,66.20,339.34,30.36
4147,2023-06-22T19:00:00Z,6,2023,15,113.43,57.17,69.93,30.63
4148,2023-06-22T20:00:00Z,6,2023,16,94.22,35.45,67.83,30.50
4149,2023-06-22T21:00:00Z,6,2023,17,52.62,3.78,45.20,29.67
4150,2023-06-22T22:00:00Z,6,2023,18,41.65,12.30,34.55,28.53
4151,2023-06-22T23:00:00Z,6,2023,19,21.58,12.49,17.88,27.07
4152,2023-06-23T00:00:00Z,6,2023,20,1.88,0.00,2.62,25.58
4153,2023-06-23T01:00:00Z,6,2023,21,0.00,0.00,0.00,24.98
4154,2023-06-23T02:00:00Z,6,2023,22,0.00,0.00,0.00,24.60
4155,2023-06-23T03:00:00Z,6,2023,23,0.00,0.00,0.00,24.35
4156,2023-06-23T04:00:00Z,6,2023,0,0.00,0.00,0.00,24.24
4157,2023-06-23T05:00:00Z,6,2023,1,0.00,0.00,0.00,24.18
4158,2023-06-23T06:00:00Z,6,2023,2,0.00,0.00,0.00,24.15
4159,2023-06-23T07:00:00Z,6,2023,3,0.00,0.00,0.00,24.06
4160,2023-06-23T08:00:00Z,6,2023,4,0.00,0.00,0.00,23.94
4161,2023-06-23T09:00:00Z,6,2023,5,0.00,0.00,0.00,23.82
4162,2023-06-23T10:00:00Z,6,2023,6,1.77,0.00,2.03,23.67
4163,2023-06-23T11:00:00Z,6,2023,7,22.70,0.00,20.51,24.57
4164,2023-06-23T12:00:00Z,6,2023,8,56.15,0.00,48.95,25.36
4165,2023-06-23T13:00:00Z,6,2023,9,98.65,0.00,85.07,26.00
4166,2023-06-23T14:00:00Z,6,2023,10,193.48,0.00,159.10,26.93
4167,2023-06-23T15:00:00Z,6,2023,11,538.92,32.13,433.93,27.59
4168,2023-06-23T16:00:00Z,6,2023,12,672.28,143.54,434.15,28.08
4169,2023-06-23T17:00:00Z,6,2023,13,736.53,179.70,411.96,28.63
4170,2023-06-23T18:00:00Z,6,2023,14,722.33,205.58,473.90,29.44
4171,2023-06-23T19:00:00Z,6,2023,15,595.22,292.30,297.64,30.04
4172,2023-06-23T20:00:00Z,6,2023,16,603.25,481.71,221.44,30.21
4173,2023-06-23T21:00:00Z,6,2023,17,401.62,378.02,183.00,30.28
4174,2023-06-23T22:00:00Z,6,2023,18,237.75,231.82,154.72,29.62
4175,2023-06-23T23:00:00Z,6,2023,19,89.70,82.77,74.57,28.16
4176,2023-06-24T00:00:00Z,6,2023,20,3.58,0.00,5.01,26.77
4177,2023-06-24T01:00:00Z,6,2023,21,0.00,0.00,0.00,26.13
4178,2023-06-24T02:00:00Z,6,2023,22,0.00,0.00,0.00,25.54
4179,2023-06-24T03:00:00Z,6,2023,23,0.00,0.00,0.00,24.88
4180,2023-06-24T04:00:00Z,6,2023,0,0.00,0.00,0.00,24.19
4181,2023-06-24T05:00:00Z,6,2023,1,0.00,0.00,0.00,23.59
4182,2023-06-24T06:00:00Z,6,2023,2,0.00,0.00,0.00,23.08
4183,2023-06-24T07:00:00Z,6,2023,3,0.00,0.00,0.00,22.77
4184,2023-06-24T08:00:00Z,6,2023,4,0.00,0.00,0.00,22.62
4185,2023-06-24T09:00:00Z,6,2023,5,0.00,0.00,0.00,22.51
4186,2023-06-24T10:00:00Z,6,2023,6,5.85,0.71,8.91,22.54
4187,2023-06-24T11:00:00Z,6,2023,7,103.40,107.23,82.52,23.90
4188,2023-06-24T12:00:00Z,6,2023,8,269.27,234.65,174.66,25.19
4189,2023-06-24T13:00:00Z,6,2023,9,481.08,443.48,208.52,27.47
4190,2023-06-24T14:00:00Z,6,2023,10,657.12,554.00,249.17,29.52
4191,2023-06-24T15:00:00Z,6,2023,11,740.95,468.35,376.38,30.56
4192,2023-06-24T16:00:00Z,6,2023,12,833.03,334.67,429.62,31.38
4193,2023-06-24T17:00:00Z,6,2023,13,844.90,610.04,241.10,32.01
4194,2023-06-24T18:00:00Z,6,2023,14,780.83,374.60,381.66,32.38
4195,2023-06-24T19:00:00Z,6,2023,15,647.17,380.51,293.98,32.48
4196,2023-06-24T20:00:00Z,6,2023,16,570.05,301.75,330.38,32.24
4197,2023-06-24T21:00:00Z,6,2023,17,405.58,220.00,305.96,31.59
4198,2023-06-24T22:00:00Z,6,2023,18,219.60,41.47,186.33,30.85
4199,2023-06-24T23:00:00Z,6,2023,19,77.60,18.44,66.91,29.12
